Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2025-12-23T05:00:00+01:00;PT15M;Onshore;Wallonia;Elia;4.11;5.7;1.4;14.5;14.7;4.8;28.7;11.0;2.2;23.9;2.9;1.5;41.8;188.2;0.02;''
2025-12-23T04:45:00+01:00;PT15M;Onshore;Wallonia;Elia;2.16;5.2;0.9;13.9;13.3;3.6;26.9;10.1;1.5;22.8;2.8;1.4;42.1;188.2;0.01;''
2025-12-23T04:30:00+01:00;PT15M;Onshore;Wallonia;Elia;3.23;4.9;0.7;13.3;12.4;3.0;25.6;9.3;1.2;21.8;2.8;1.2;41.9;188.2;0.02;''
2025-12-23T04:15:00+01:00;PT15M;Onshore;Wallonia;Elia;3.51;4.5;0.5;13.1;11.7;2.7;24.3;8.7;1.3;20.6;2.8;1.2;41.4;188.2;0.02;''
2025-12-23T04:00:00+01:00;PT15M;Onshore;Wallonia;Elia;4.03;4.1;0.3;12.8;10.7;2.8;22.3;8.1;1.7;19.2;2.8;1.2;40.3;188.2;0.02;''
2025-12-23T03:45:00+01:00;PT15M;Onshore;Wallonia;Elia;3.57;4.2;0.3;12.7;10.3;3.0;20.8;7.7;2.2;17.9;2.7;1.2;39.1;188.2;0.02;''
2025-12-23T03:30:00+01:00;PT15M;Onshore;Wallonia;Elia;4.31;4.2;0.3;12.6;9.7;3.2;19.8;7.5;2.4;17.1;2.8;1.2;38.4;188.2;0.02;''
2025-12-23T03:15:00+01:00;PT15M;Onshore;Wallonia;Elia;4.13;3.9;0.3;12.5;9.3;3.0;18.9;7.2;2.4;16.5;2.8;1.2;38.1;188.2;0.02;''
2025-12-23T03:00:00+01:00;PT15M;Onshore;Wallonia;Elia;6.4;3.6;0.2;12.3;8.8;2.8;18.4;7.0;2.1;16.1;2.7;1.2;38.2;188.2;0.03;''
2025-12-23T02:45:00+01:00;PT15M;Onshore;Wallonia;Elia;5.54;3.7;0.4;12.5;8.6;2.5;18.0;6.7;1.9;15.9;2.6;1.2;38.4;188.2;0.03;''
2025-12-23T02:30:00+01:00;PT15M;Onshore;Wallonia;Elia;1.65;3.8;0.4;12.2;8.2;2.3;17.7;6.5;1.7;15.8;2.6;1.2;39.0;188.2;0.01;''
2025-12-23T02:15:00+01:00;PT15M;Onshore;Wallonia;Elia;1.39;3.7;0.4;12.2;7.9;2.1;17.3;6.5;1.5;15.6;2.6;1.3;40.1;188.2;0.01;''
2025-12-23T02:00:00+01:00;PT15M;Onshore;Wallonia;Elia;1.81;3.5;0.4;12.1;7.5;1.7;16.9;6.3;1.3;15.5;2.7;1.5;41.9;188.2;0.01;''
2025-12-23T01:45:00+01:00;PT15M;Onshore;Wallonia;Elia;3.8;4.3;0.4;12.8;7.1;1.4;16.4;6.4;1.0;15.3;2.7;1.6;43.4;188.2;0.02;''
2025-12-23T01:30:00+01:00;PT15M;Onshore;Wallonia;Elia;5.17;4.2;0.4;12.6;6.9;1.2;16.1;6.3;0.9;15.3;2.7;1.7;44.7;188.2;0.03;''
2025-12-23T01:15:00+01:00;PT15M;Onshore;Wallonia;Elia;8.09;4.0;0.4;12.6;6.6;1.0;15.9;6.2;0.9;15.4;2.7;1.8;45.4;188.2;0.04;''
2025-12-23T01:00:00+01:00;PT15M;Onshore;Wallonia;Elia;8.22;3.9;0.4;12.6;6.4;0.8;15.7;6.1;0.8;15.4;2.8;1.8;45.6;188.2;0.04;''
2025-12-23T00:45:00+01:00;PT15M;Onshore;Wallonia;Elia;8.23;3.6;0.3;12.1;6.0;0.7;15.2;6.2;0.8;15.5;2.9;2.0;46.1;188.2;0.04;''
2025-12-23T00:30:00+01:00;PT15M;Onshore;Wallonia;Elia;8.47;3.5;0.3;12.1;5.6;0.4;14.9;6.3;0.7;15.5;3.0;2.0;46.5;188.2;0.05;''
2025-12-23T00:15:00+01:00;PT15M;Onshore;Wallonia;Elia;8.29;3.5;0.3;11.9;5.4;0.4;14.9;6.1;0.6;15.4;3.1;2.0;47.0;188.2;0.04;''
2025-12-23T00:00:00+01:00;PT15M;Onshore;Wallonia;Elia;8.54;3.4;0.3;11.9;5.3;0.4;14.5;5.8;0.5;15.1;3.2;2.1;47.6;188.2;0.05;''
2025-12-22T23:45:00+01:00;PT15M;Onshore;Wallonia;Elia;10.08;2.8;0.3;11.5;3.1;0.4;14.6;3.9;0.5;13.5;28.4;9.4;62.9;188.2;0.05;''
2025-12-22T23:30:00+01:00;PT15M;Onshore;Wallonia;Elia;10.95;2.7;0.3;11.2;3.1;0.4;14.6;3.9;0.5;13.6;28.2;9.2;62.7;188.2;0.06;''
2025-12-22T23:15:00+01:00;PT15M;Onshore;Wallonia;Elia;7.47;2.6;0.3;11.2;3.1;0.4;14.5;3.8;0.5;13.6;28.1;9.1;62.6;188.2;0.04;''
2025-12-22T23:00:00+01:00;PT15M;Onshore;Wallonia;Elia;5.3;2.7;0.4;11.3;3.2;0.4;14.4;3.8;0.5;13.7;28.0;9.1;62.6;188.2;0.03;''
2025-12-22T22:45:00+01:00;PT15M;Onshore;Wallonia;Elia;4.63;2.6;0.4;11.1;3.1;0.3;14.2;3.8;0.5;13.8;27.8;8.8;62.4;188.2;0.02;''
2025-12-22T22:30:00+01:00;PT15M;Onshore;Wallonia;Elia;4.84;2.5;0.3;10.9;3.2;0.3;14.0;3.8;0.5;13.9;27.5;8.6;62.1;188.2;0.03;''
2025-12-22T22:15:00+01:00;PT15M;Onshore;Wallonia;Elia;6.64;2.5;0.3;11.1;3.1;0.3;13.9;3.6;0.5;14.0;27.4;8.3;61.9;188.2;0.04;''
2025-12-22T22:00:00+01:00;PT15M;Onshore;Wallonia;Elia;8.08;2.5;0.3;11.1;3.2;0.3;13.9;3.6;0.5;14.1;27.3;8.2;61.8;188.2;0.04;''
2025-12-22T21:45:00+01:00;PT15M;Onshore;Wallonia;Elia;10.65;3.0;0.3;11.8;3.8;0.4;14.1;3.5;0.5;14.0;27.2;8.1;61.7;188.2;0.06;''
2025-12-22T21:30:00+01:00;PT15M;Onshore;Wallonia;Elia;12.42;3.3;0.4;11.8;4.2;0.5;14.1;3.5;0.5;13.9;27.0;8.1;61.4;188.2;0.07;''
2025-12-22T21:15:00+01:00;PT15M;Onshore;Wallonia;Elia;11.23;3.4;0.4;11.9;4.2;0.5;14.0;3.4;0.5;13.9;26.8;8.0;61.0;188.2;0.06;''
